zn,pday,Breach_flag,count
 D,10,0,2
 D,14,0,3
 D,16,0,1
 D,19,0,1
 D,28,0,1
A,1,0,1403
A,1,1,901
A,2,0,3548
A,2,1,792
A,3,0,6106
A,3,1,432
A,4,0,1529
A,4,1,458
A,5,0,4294
A,5,1,819
A,6,0,7269
A,6,1,1565
A,7,0,4837
A,7,1,1054
A,8,0,4575
A,8,1,1197
A,9,0,5487
A,9,1,697
A,10,0,5623
A,10,1,398
A,11,0,2649
A,11,1,463
A,12,0,5065
A,12,1,1136
A,13,0,5587
A,13,1,2031
A,14,0,4075
A,14,1,1677
A,15,0,4326
A,15,1,1109
A,16,0,5462
A,16,1,571
A,17,0,5044
A,17,1,315
A,18,0,1508
A,18,1,195
A,19,0,5687
A,19,1,1217
A,20,0,7744
A,20,1,698
A,21,0,5837
A,21,1,859
A,22,0,5827
A,22,1,868
A,23,0,6133
A,23,1,413
A,24,0,4868
A,24,1,2226
A,25,0,971
A,25,1,1590
A,26,0,923
A,26,1,366
A,27,0,6107
A,27,1,1558
A,28,0,7422
A,28,1,1527
A,29,0,6630
A,29,1,1105
A,30,0,6763
A,30,1,716
A,31,0,4852
A,31,1,355
A,32,0,1476
A,32,1,334
A,33,0,4178
A,33,1,895
A,34,0,6675
A,34,1,519
A,35,0,5229
A,35,1,646
A,36,0,5821
A,36,1,478
A,37,0,4224
A,37,1,1381
A,38,0,3147
A,38,1,173
A,39,0,1998
A,39,1,371
A,40,0,4390
A,40,1,1649
A,41,0,5059
A,41,1,402
A,42,0,4123
A,42,1,417
A,43,0,4138
A,43,1,762
A,44,0,4329
A,44,1,259
A,45,0,3725
A,45,1,256
A,46,0,1289
A,46,1,241
A,47,0,4346
A,47,1,512
A,48,0,4243
A,48,1,861
A,49,0,816
A,49,1,109
B,1,0,3466
B,1,1,798
B,2,0,5224
B,2,1,775
B,3,0,5771
B,3,1,984
B,4,0,3754
B,4,1,901
B,5,0,5665
B,5,1,1676
B,6,0,8579
B,6,1,2239
B,7,0,6135
B,7,1,1778
B,8,0,6730
B,8,1,1172
B,9,0,7005
B,9,1,817
B,10,0,6770
B,10,1,813
B,11,0,3207
B,11,1,1146
B,12,0,4265
B,12,1,2070
B,13,0,5983
B,13,1,3566
B,14,0,5254
B,14,1,2150
B,15,0,5350
B,15,1,741
B,16,0,5974
B,16,1,669
B,17,0,7349
B,17,1,579
