_id.dl_date,_id.zn,_id.pddMinusFdd,dl_count
32,,-38,2.0
32,,-6,2.0
32,,-4,1.0
32,,-1,3.0
32,,0,5.0
32,,1,69.0
32,,2,11.0
32,"A",-38,19.0
32,"A",-36,1.0
32,"A",-9,1.0
32,"A",-7,1.0
32,"A",-6,3.0
32,"A",-5,2.0
32,"A",-4,1.0
32,"A",-3,13.0
32,"A",-2,13.0
32,"A",-1,63.0
32,"A",0,264.0
32,"A",1,1515.0
32,"A",2,248.0
32,"B",-38,4.0
32,"B",-37,14.0
32,"B",-23,1.0
32,"B",-9,1.0
32,"B",-7,5.0
32,"B",-6,8.0
32,"B",-5,19.0
32,"B",-4,6.0
32,"B",-3,33.0
32,"B",-2,98.0
32,"B",-1,180.0
32,"B",0,706.0
32,"B",1,1629.0
32,"B",2,1385.0
32,"B",3,7.0
32,"C",-37,44.0
32,"C",-16,2.0
32,"C",-15,1.0
32,"C",-13,1.0
32,"C",-11,2.0
32,"C",-10,3.0
32,"C",-9,1.0
32,"C",-8,2.0
32,"C",-7,2.0
32,"C",-6,6.0
32,"C",-5,21.0
32,"C",-4,8.0
32,"C",-3,37.0
32,"C",-2,89.0
32,"C",-1,417.0
32,"C",0,2076.0
32,"C",1,4723.0
32,"C",2,1076.0
32,"C",3,15.0
32,"C",4,1.0
32,"D",-37,1.0
32,"D",-36,146.0
32,"D",-21,1.0
32,"D",-16,1.0
32,"D",-14,1.0
32,"D",-13,1.0
32,"D",-12,17.0
32,"D",-11,4.0
32,"D",-10,4.0
32,"D",-9,7.0
32,"D",-8,35.0
32,"D",-7,26.0
32,"D",-6,25.0
32,"D",-5,58.0
32,"D",-4,101.0
32,"D",-3,114.0
32,"D",-2,540.0
32,"D",-1,1580.0
32,"D",0,3445.0
32,"D",1,5949.0
32,"D",2,4933.0
32,"D",3,753.0
32,"D",4,4.0
32,"E",-36,68.0
32,"E",-18,4.0
32,"E",-17,1.0
32,"E",-16,2.0
32,"E",-15,17.0
32,"E",-14,164.0
32,"E",-13,217.0
32,"E",-12,72.0
32,"E",-11,6.0
32,"E",-10,11.0
32,"E",-9,157.0
32,"E",-8,322.0
32,"E",-7,212.0
32,"E",-6,110.0
32,"E",-5,310.0
32,"E",-4,505.0
32,"E",-3,316.0
32,"E",-2,906.0
32,"E",-1,884.0
32,"E",0,443.0
32,"E",1,188.0
32,"E",2,57.0
33,,-38,7.0
33,,-36,2.0
33,,-12,1.0
33,,-6,1.0
33,,-4,1.0
33,,-3,1.0
33,,-2,4.0
33,,-1,9.0
33,,0,130.0
33,,1,102.0
33,,3,1.0
33,"A",-38,36.0
33,"A",-36,1.0
33,"A",-30,1.0
33,"A",-23,3.0
33,"A",-21,2.0
33,"A",-18,6.0
33,"A",-11,10.0
33,"A",-10,5.0
33,"A",-8,8.0
33,"A",-7,1.0
33,"A",-6,8.0
33,"A",-5,7.0
33,"A",-4,22.0
33,"A",-3,22.0
33,"A",-2,111.0
33,"A",-1,757.0
33,"A",0,4237.0
33,"A",1,528.0
33,"A",2,147.0
33,"A",3,726.0
33,"B",-38,1.0
33,"B",-37,42.0
33,"B",-26,1.0
33,"B",-22,1.0
33,"B",-19,1.0
33,"B",-16,2.0
33,"B",-15,2.0
33,"B",-12,4.0
33,"B",-11,4.0
33,"B",-10,2.0
33,"B",-9,5.0
33,"B",-8,14.0
33,"B",-7,20.0
33,"B",-6,12.0
33,"B",-5,40.0
33,"B",-4,10.0
33,"B",-3,112.0
33,"B",-2,294.0
33,"B",-1,1107.0
33,"B",0,2692.0
33,"B",1,1913.0
33,"B",2,233.0
33,"B",3,161.0
33,"C",-37,92.0
33,"C",-36,4.0
33,"C",-34,1.0
33,"C",-26,1.0
33,"C",-23,1.0
33,"C",-21,2.0
33,"C",-20,1.0
33,"C",-19,3.0
33,"C",-18,3.0
33,"C",-17,1.0
33,"C",-16,1.0
33,"C",-15,1.0
33,"C",-14,2.0
33,"C",-13,1.0
33,"C",-12,4.0
33,"C",-11,3.0
33,"C",-10,14.0
33,"C",-9,5.0
33,"C",-8,26.0
33,"C",-7,6.0
33,"C",-6,23.0
33,"C",-5,112.0
33,"C",-4,23.0
33,"C",-3,202.0
33,"C",-2,764.0
33,"C",-1,3593.0
33,"C",0,9688.0
33,"C",1,3232.0
33,"C",2,158.0
33,"C",3,200.0
33,"D",-36,567.0
33,"D",-34,1.0
33,"D",-32,3.0
33,"D",-30,5.0
33,"D",-25,2.0
33,"D",-21,2.0
33,"D",-20,3.0
33,"D",-18,5.0
33,"D",-17,1.0
33,"D",-15,2.0
33,"D",-13,3.0
33,"D",-12,6.0
33,"D",-11,19.0
33,"D",-10,6.0
33,"D",-9,12.0
33,"D",-8,34.0
33,"D",-7,63.0
33,"D",-6,207.0
33,"D",-5,296.0
33,"D",-4,924.0
33,"D",-3,542.0
33,"D",-2,2998.0
33,"D",-1,5761.0
33,"D",0,10494.0
33,"D",1,8418.0
33,"D",2,1513.0
33,"D",3,762.0
33,"E",-36,95.0
33,"E",-18,3.0
33,"E",-17,2.0
33,"E",-16,4.0
33,"E",-15,35.0
33,"E",-14,136.0
33,"E",-13,147.0
33,"E",-12,119.0
33,"E",-11,70.0
33,"E",-10,31.0
33,"E",-9,280.0
33,"E",-8,374.0
33,"E",-7,479.0
33,"E",-6,255.0
33,"E",-5,395.0
33,"E",-4,610.0
33,"E",-3,475.0
33,"E",-2,1118.0
33,"E",-1,989.0
33,"E",0,559.0
33,"E",1,204.0
33,"E",2,69.0
33,"E",3,25.0
34,,-37,4.0
34,,-35,4.0
34,,-5,2.0
34,,-3,4.0
34,,-2,7.0
34,,-1,13.0
34,,0,231.0
34,,1,70.0
34,"A",-37,205.0
34,"A",-27,1.0
34,"A",-21,1.0
34,"A",-17,1.0
34,"A",-10,2.0
34,"A",-9,2.0
34,"A",-8,2.0
34,"A",-7,7.0
34,"A",-6,8.0
34,"A",-5,26.0
34,"A",-4,13.0
34,"A",-3,34.0
34,"A",-2,77.0
34,"A",-1,352.0
34,"A",0,5973.0
34,"A",1,1882.0
34,"A",2,21.0
34,"A",3,49.0
34,"B",-37,1.0
34,"B",-36,41.0
34,"B",-32,1.0
34,"B",-15,5.0
34,"B",-12,1.0
34,"B",-11,2.0
34,"B",-10,1.0
34,"B",-9,2.0
34,"B",-8,8.0
34,"B",-7,7.0
34,"B",-6,12.0
34,"B",-5,15.0
34,"B",-4,86.0
34,"B",-3,34.0
34,"B",-2,291.0
34,"B",-1,1028.0
34,"B",0,3219.0
34,"B",1,3759.0
34,"B",2,441.0
34,"B",3,30.0
34,"C",-36,132.0
34,"C",-35,1.0
34,"C",-22,1.0
34,"C",-21,1.0
34,"C",-19,2.0
34,"C",-18,1.0
34,"C",-16,1.0
34,"C",-15,2.0
34,"C",-13,2.0
34,"C",-12,1.0
34,"C",-11,9.0
34,"C",-10,3.0
34,"C",-9,18.0
34,"C",-8,9.0
34,"C",-7,19.0
34,"C",-6,30.0
34,"C",-5,150.0
34,"C",-4,776.0
34,"C",-3,81.0
34,"C",-2,693.0
34,"C",-1,3635.0
34,"C",0,14495.0
34,"C",1,4411.0
34,"C",2,424.0
34,"C",3,70.0
34,"D",-37,1.0
34,"D",-36,2.0
34,"D",-35,476.0
34,"D",-27,1.0
34,"D",-25,1.0
34,"D",-22,1.0
34,"D",-19,1.0
34,"D",-17,1.0
34,"D",-15,1.0
34,"D",-14,2.0
34,"D",-13,2.0
34,"D",-12,6.0
34,"D",-11,5.0
34,"D",-10,20.0
34,"D",-9,7.0
34,"D",-8,30.0
34,"D",-7,25.0
34,"D",-6,100.0
34,"D",-5,262.0
34,"D",-4,699.0
34,"D",-3,1925.0
34,"D",-2,1118.0
34,"D",-1,7519.0
34,"D",0,13190.0
34,"D",1,13287.0
34,"D",2,2455.0
34,"D",3,742.0
34,"E",-35,159.0
34,"E",-27,1.0
34,"E",-18,7.0
34,"E",-17,29.0
34,"E",-16,1.0
34,"E",-15,24.0
34,"E",-14,56.0
34,"E",-13,150.0
34,"E",-12,236.0
34,"E",-11,137.0
34,"E",-10,135.0
34,"E",-9,47.0
34,"E",-8,457.0
34,"E",-7,498.0
34,"E",-6,601.0
34,"E",-5,440.0
34,"E",-4,530.0
34,"E",-3,1342.0
34,"E",-2,948.0
34,"E",-1,1154.0
34,"E",0,886.0
34,"E",1,225.0
34,"E",2,68.0
34,"E",3,36.0
35,,-36,4.0
35,,-34,1.0
35,,-4,1.0
35,,-3,1.0
35,,-2,3.0
