_id.dl_date,_id.deltaHr,dl_count
32,"<2",25131.0
32,"<4",7755.0
32,"<8",3236.0
32,">8",1456.0
33,"<2",51418.0
33,"<4",11026.0
33,"<8",6210.0
33,">8",2239.0
34,"<2",69160.0
34,"<4",15619.0
34,"<8",6194.0
34,">8",2020.0
35,"<2",55758.0
35,"<4",10524.0
35,"<8",3878.0
35,">8",1613.0
36,"<2",53240.0
36,"<4",8945.0
36,"<8",3840.0
36,">8",1631.0
37,"<2",52454.0
37,"<4",10417.0
37,"<8",3286.0
37,">8",1817.0
38,"<2",38815.0
38,"<4",7808.0
38,"<8",2985.0
38,">8",1735.0
39,"<2",24465.0
39,"<4",7243.0
39,"<8",2156.0
39,">8",1129.0
40,"<2",57380.0
40,"<4",13947.0
40,"<8",6468.0
40,">8",2758.0
41,"<2",57509.0
41,"<4",13505.0
41,"<8",5253.0
41,">8",2707.0
42,"<2",45774.0
42,"<4",9599.0
42,"<8",3677.0
42,">8",3005.0
43,"<2",44726.0
43,"<4",10999.0
43,"<8",4482.0
43,">8",3002.0
44,"<2",43074.0
44,"<4",11203.0
44,"<8",2889.0
44,">8",2263.0
45,"<2",40653.0
45,"<4",8991.0
45,"<8",2562.0
45,">8",2055.0
46,"<2",22450.0
46,"<4",5154.0
46,"<8",1227.0
46,">8",1913.0
47,"<2",45087.0
47,"<4",9599.0
47,"<8",3485.0
47,">8",4186.0
48,"<2",49409.0
48,"<4",10893.0
48,"<8",4740.0
48,">8",2987.0
49,"<2",49936.0
49,"<4",9852.0
49,"<8",3149.0
49,">8",3238.0
50,"<2",50791.0
50,"<4",9568.0
50,"<8",3687.0
50,">8",2562.0
51,"<2",40978.0
51,"<4",8320.0
51,"<8",4673.0
51,">8",2912.0
52,"<2",43781.0
52,"<4",9242.0
52,"<8",2697.0
52,">8",3813.0
53,"<2",18632.0
53,"<4",3332.0
53,"<8",1387.0
53,">8",1361.0
54,"<2",47365.0
54,"<4",7844.0
54,"<8",3337.0
54,">8",3359.0
55,"<2",46421.0
55,"<4",9033.0
55,"<8",4195.0
55,">8",4779.0
56,"<2",39346.0
56,"<4",8675.0
56,"<8",4680.0
56,">8",2252.0
57,"<2",41695.0
57,"<4",9077.0
57,"<8",5014.0
57,">8",2946.0
58,"<2",45519.0
58,"<4",8488.0
58,"<8",2884.0
58,">8",2104.0
59,"<2",41887.0
59,"<4",10055.0
59,"<8",3103.0
59,">8",3286.0
60,"<2",19826.0
60,"<4",4891.0
60,"<8",1488.0
60,">8",1963.0
61,"<2",44800.0
61,"<4",8043.0
61,"<8",3907.0
61,">8",2430.0
62,"<2",46922.0
62,"<4",9623.0
62,"<8",3316.0
62,">8",2678.0
63,"<2",39474.0
63,"<4",7230.0
63,"<8",2237.0
63,">8",2702.0
64,"<2",38251.0
64,"<4",10418.0
64,"<8",4283.0
64,">8",2487.0
65,"<2",10515.0
65,"<4",3848.0
65,"<8",1262.0
65,">8",996.0
66,"<2",33903.0
66,"<4",10658.0
66,"<8",4308.0
66,">8",1365.0
67,"<2",22248.0
67,"<4",5092.0
67,"<8",2390.0
67,">8",1866.0
68,"<2",46306.0
68,"<4",11026.0
68,"<8",4107.0
68,">8",3876.0
69,"<2",45212.0
69,"<4",13462.0
69,"<8",5243.0
69,">8",3709.0
70,"<2",47238.0
70,"<4",13437.0
70,"<8",7262.0
70,">8",3751.0
71,"<2",44436.0
71,"<4",11551.0
71,"<8",5004.0
71,">8",1433.0
72,"<2",9691.0
72,"<4",884.0
72,"<8",74.0
