_id.dl_date,_id.dl_pt,_id.dl_cs_ss,_id.dl_cl,dl_count
32,"COD","Delivered","Snapdeal",7769.0
32,"COD","In Transit","Snapdeal",5.0
32,"COD","LOST","Snapdeal",7.0
32,"COD","Pending","Snapdeal",1.0
32,"COD","RTO","Snapdeal",1445.0
32,"COD","Returned","Snapdeal",42.0
32,"Pre-paid","Delivered","Snapdeal",1955.0
32,"Pre-paid","In Transit","Snapdeal",1.0
32,"Pre-paid","RTO","Snapdeal",27.0
33,"COD","Delivered","Snapdeal",20375.0
33,"COD","In Transit","Snapdeal",7.0
33,"COD","LOST","Snapdeal",34.0
33,"COD","Pending","Snapdeal",2.0
33,"COD","RTO","Snapdeal",3609.0
33,"COD","Returned","Snapdeal",102.0
33,"Pre-paid","Delivered","Snapdeal",5446.0
33,"Pre-paid","LOST","Snapdeal",6.0
33,"Pre-paid","Pending","Snapdeal",1.0
33,"Pre-paid","RTO","Snapdeal",381.0
33,"Pre-paid","Returned","Snapdeal",17.0
34,"COD","Delivered","Snapdeal",26794.0
34,"COD","In Transit","Snapdeal",22.0
34,"COD","LOST","Snapdeal",37.0
34,"COD","Pending","Snapdeal",5.0
34,"COD","RTO","Snapdeal",4658.0
34,"COD","Returned","Snapdeal",259.0
34,"Pre-paid","Delivered","Snapdeal",6304.0
34,"Pre-paid","In Transit","Snapdeal",3.0
34,"Pre-paid","LOST","Snapdeal",1.0
34,"Pre-paid","RTO","Snapdeal",170.0
34,"Pre-paid","Returned","Snapdeal",13.0
35,"COD","Delivered","Snapdeal",16470.0
35,"COD","In Transit","Snapdeal",1.0
35,"COD","LOST","Snapdeal",17.0
35,"COD","Pending","Snapdeal",1.0
35,"COD","RTO","Snapdeal",2878.0
35,"COD","Returned","Snapdeal",205.0
35,"Pre-paid","Delivered","Snapdeal",3435.0
35,"Pre-paid","In Transit","Snapdeal",3.0
35,"Pre-paid","LOST","Snapdeal",4.0
35,"Pre-paid","Pending","Snapdeal",1.0
35,"Pre-paid","RTO","Snapdeal",188.0
35,"Pre-paid","Returned","Snapdeal",19.0
36,"COD","Delivered","Snapdeal",15843.0
36,"COD","In Transit","Snapdeal",3.0
36,"COD","LOST","Snapdeal",32.0
36,"COD","RTO","Snapdeal",2708.0
36,"COD","Returned","Snapdeal",146.0
36,"Pre-paid","Delivered","Snapdeal",2625.0
36,"Pre-paid","In Transit","Snapdeal",5.0
36,"Pre-paid","LOST","Snapdeal",2.0
36,"Pre-paid","RTO","Snapdeal",199.0
36,"Pre-paid","Returned","Snapdeal",16.0
37,"COD","Delivered","Snapdeal",13345.0
37,"COD","In Transit","Snapdeal",5.0
37,"COD","LOST","Snapdeal",72.0
37,"COD","RTO","Snapdeal",2511.0
37,"COD","Returned","Snapdeal",203.0
37,"Pre-paid","Delivered","Snapdeal",2253.0
37,"Pre-paid","In Transit","Snapdeal",1.0
37,"Pre-paid","LOST","Snapdeal",17.0
37,"Pre-paid","RTO","Snapdeal",107.0
37,"Pre-paid","Returned","Snapdeal",27.0
38,"COD","Delivered","Snapdeal",9784.0
