_id.dl_date,_id.dl_pt,_id.dl_cs_ss,_id.dl_zn,dl_count
32,"COD","Delivered","A",1369.0
32,"COD","Delivered","B",2791.0
32,"COD","Delivered","C",5202.0
32,"COD","Delivered","D",12412.0
32,"COD","Delivered","E",3568.0
32,"COD","In Transit","B",1.0
32,"COD","In Transit","D",7.0
32,"COD","In Transit","E",24.0
32,"COD","LOST","B",3.0
32,"COD","LOST","C",17.0
32,"COD","LOST","D",24.0
32,"COD","LOST","E",2.0
32,"COD","Not Picked","A",4.0
32,"COD","Not Picked","B",1.0
32,"COD","Not Picked","C",1.0
32,"COD","Not Picked","D",2.0
32,"COD","Pending","B",2.0
32,"COD","Pending","C",1.0
32,"COD","Pending","E",1.0
32,"COD","RTO","A",501.0
32,"COD","RTO","B",634.0
32,"COD","RTO","C",1147.0
32,"COD","RTO","D",2923.0
32,"COD","RTO","E",865.0
32,"COD","Returned","A",2.0
32,"COD","Returned","B",6.0
32,"COD","Returned","C",10.0
32,"COD","Returned","D",36.0
32,"COD","Returned","E",66.0
32,"Cash","Closed",,46.0
32,"Cash","Closed","C",1.0
32,"Cash","Closed","D",1.0
32,"Cash","Collected",,47.0
32,"Cash","Collected","C",1.0
32,"Pickup","Canceled","D",3.0
32,"Pickup","Closed","B",1.0
32,"Pickup","Closed","C",4.0
32,"Pickup","Closed","D",4.0
32,"Pickup","DTO","A",10.0
32,"Pickup","DTO","B",13.0
32,"Pickup","DTO","C",29.0
32,"Pickup","DTO","D",23.0
32,"Pickup","Picked Up","C",1.0
32,"Pre-paid","Delivered","A",246.0
32,"Pre-paid","Delivered","B",611.0
32,"Pre-paid","Delivered","C",2088.0
32,"Pre-paid","Delivered","D",2228.0
32,"Pre-paid","Delivered","E",430.0
32,"Pre-paid","In Transit","D",1.0
32,"Pre-paid","LOST","E",1.0
32,"Pre-paid","Not Picked","C",1.0
32,"Pre-paid","RTO","A",2.0
32,"Pre-paid","RTO","B",14.0
32,"Pre-paid","RTO","C",17.0
32,"Pre-paid","RTO","D",41.0
32,"Pre-paid","RTO","E",14.0
32,"Pre-paid","Returned","D",28.0
32,"Pre-paid","Returned","E",1.0
32,"REPL","DTO","A",9.0
32,"REPL","DTO","B",16.0
32,"REPL","DTO","C",7.0
32,"REPL","DTO","D",13.0
32,"REPL","Picked Up","B",2.0
32,"REPL","RTO","A",1.0
32,"REPL","RTO","B",1.0
33,"COD","Delivered",,1.0
33,"COD","Delivered","A",2384.0
33,"COD","Delivered","B",3550.0
33,"COD","Delivered","C",8542.0
33,"COD","Delivered","D",19434.0
33,"COD","Delivered","E",4468.0
33,"COD","In Transit","C",2.0
33,"COD","In Transit","D",6.0
33,"COD","In Transit","E",24.0
33,"COD","LOST","B",4.0
33,"COD","LOST","C",6.0
33,"COD","LOST","D",30.0
33,"COD","LOST","E",7.0
33,"COD","Not Picked",,22.0
33,"COD","Not Picked","A",14.0
33,"COD","Not Picked","B",8.0
33,"COD","Not Picked","C",21.0
33,"COD","Not Picked","D",62.0
33,"COD","Not Picked","E",5.0
33,"COD","Pending","B",1.0
33,"COD","Pending","C",1.0
33,"COD","Pending","D",4.0
33,"COD","Pending","E",5.0
33,"COD","RTO","A",472.0
33,"COD","RTO","B",669.0
33,"COD","RTO","C",1452.0
33,"COD","RTO","D",3944.0
33,"COD","RTO","E",1104.0
33,"COD","Returned","A",8.0
33,"COD","Returned","B",7.0
33,"COD","Returned","C",32.0
33,"COD","Returned","D",64.0
33,"COD","Returned","E",109.0
33,"Cash","Closed",,83.0
33,"Cash","Closed","A",4.0
33,"Cash","Closed","B",2.0
33,"Cash","Closed","C",5.0
33,"Cash","Closed","D",5.0
33,"Cash","Collected",,174.0
33,"Cash","Collected","A",5.0
33,"Cash","Collected","C",13.0
33,"Cash","Collected","D",1.0
33,"Pickup","Canceled","B",3.0
33,"Pickup","Canceled","C",3.0
33,"Pickup","Canceled","D",20.0
33,"Pickup","Closed","A",5.0
33,"Pickup","Closed","B",97.0
33,"Pickup","Closed","C",25.0
33,"Pickup","Closed","D",582.0
33,"Pickup","Closed","E",48.0
33,"Pickup","DTO",,1.0
33,"Pickup","DTO","A",962.0
33,"Pickup","DTO","B",542.0
33,"Pickup","DTO","C",893.0
33,"Pickup","DTO","D",1602.0
33,"Pickup","DTO","E",152.0
33,"Pickup","LOST","B",2.0
33,"Pickup","LOST","E",2.0
33,"Pickup","Picked Up","A",1.0
33,"Pickup","Picked Up","B",1.0
33,"Pickup","Picked Up","C",5.0
33,"Pickup","Picked Up","D",41.0
33,"Pickup","Picked Up","E",4.0
