_id.dl_date,_id.dl_pt,_id.dl_cs_ss,dl_count
32,"COD","Delivered",25342.0
32,"COD","In Transit",32.0
32,"COD","LOST",46.0
32,"COD","Not Picked",8.0
32,"COD","Pending",4.0
32,"COD","RTO",6070.0
32,"COD","Returned",120.0
32,"Cash","Closed",48.0
32,"Cash","Collected",48.0
32,"Pickup","Canceled",3.0
32,"Pickup","Closed",9.0
32,"Pickup","DTO",75.0
32,"Pickup","Picked Up",1.0
32,"Pre-paid","Delivered",5603.0
32,"Pre-paid","In Transit",1.0
32,"Pre-paid","LOST",1.0
32,"Pre-paid","Not Picked",1.0
32,"Pre-paid","RTO",88.0
32,"Pre-paid","Returned",29.0
32,"REPL","DTO",45.0
32,"REPL","Picked Up",2.0
32,"REPL","RTO",2.0
33,"COD","Delivered",38379.0
33,"COD","In Transit",32.0
33,"COD","LOST",47.0
33,"COD","Not Picked",132.0
33,"COD","Pending",11.0
33,"COD","RTO",7641.0
33,"COD","Returned",220.0
33,"Cash","Closed",99.0
33,"Cash","Collected",193.0
33,"Pickup","Canceled",26.0
33,"Pickup","Closed",757.0
33,"Pickup","DTO",4152.0
33,"Pickup","LOST",4.0
33,"Pickup","Picked Up",52.0
33,"Pickup","Scheduled",14.0
33,"Pre-paid","Delivered",18351.0
33,"Pre-paid","In Transit",3.0
33,"Pre-paid","LOST",13.0
33,"Pre-paid","Not Picked",38.0
33,"Pre-paid","Pending",6.0
33,"Pre-paid","RTO",655.0
33,"Pre-paid","Returned",32.0
33,"REPL","DTO",32.0
33,"REPL","RTO",4.0
34,"COD","Delivered",52740.0
34,"COD","In Transit",49.0
34,"COD","LOST",72.0
34,"COD","Not Picked",28.0
34,"COD","Pending",10.0
34,"COD","RTO",12029.0
34,"COD","Returned",407.0
34,"Cash","Closed",129.0
34,"Cash","Collected",222.0
34,"Pickup","Canceled",11.0
34,"Pickup","Closed",611.0
34,"Pickup","DTO",3058.0
34,"Pickup","LOST",7.0
34,"Pickup","Picked Up",43.0
34,"Pickup","Scheduled",3.0
34,"Pre-paid","Delivered",22977.0
34,"Pre-paid","In Transit",7.0
34,"Pre-paid","LOST",7.0
34,"Pre-paid","Not Picked",6.0
34,"Pre-paid","RTO",458.0
34,"Pre-paid","Returned",64.0
34,"REPL","DTO",48.0
34,"REPL","LOST",1.0
34,"REPL","RTO",6.0
35,"COD","Delivered",39302.0
35,"COD","In Transit",136.0
35,"COD","LOST",45.0
35,"COD","Not Picked",124.0
35,"COD","Pending",4.0
35,"COD","RTO",8864.0
35,"COD","Returned",333.0
35,"Cash","Closed",96.0
35,"Cash","Collected",211.0
35,"Pickup","Canceled",31.0
35,"Pickup","Closed",887.0
35,"Pickup","DTO",4790.0
35,"Pickup","LOST",3.0
35,"Pickup","Picked Up",52.0
35,"Pickup","Scheduled",11.0
35,"Pre-paid","Delivered",16241.0
35,"Pre-paid","In Transit",13.0
35,"Pre-paid","LOST",7.0
35,"Pre-paid","Not Picked",17.0
35,"Pre-paid","Pending",5.0
35,"Pre-paid","RTO",481.0
35,"Pre-paid","Returned",55.0
35,"REPL","DTO",54.0
35,"REPL","RTO",11.0
36,"COD","Delivered",37418.0
36,"COD","In Transit",67.0
36,"COD","LOST",74.0
36,"COD","Not Picked",65.0
36,"COD","Pending",6.0
36,"COD","RTO",9154.0
36,"COD","Returned",269.0
36,"Cash","Closed",120.0
36,"Cash","Collected",161.0
36,"Pickup","Canceled",7.0
36,"Pickup","Closed",545.0
36,"Pickup","DTO",1754.0
36,"Pickup","Picked Up",39.0
36,"Pre-paid","Delivered",17107.0
36,"Pre-paid","In Transit",8.0
36,"Pre-paid","LOST",18.0
36,"Pre-paid","Not Picked",8.0
36,"Pre-paid","Pending",1.0
36,"Pre-paid","RTO",741.0
36,"Pre-paid","Returned",46.0
36,"REPL","DTO",41.0
36,"REPL","Dispatched",1.0
36,"REPL","RTO",6.0
37,"COD","Delivered",38940.0
37,"COD","In Transit",51.0
37,"COD","LOST",101.0
37,"COD","Not Picked",92.0
37,"COD","Pending",4.0
37,"COD","RTO",9417.0
37,"COD","Returned",349.0
37,"Cash","Closed",103.0
37,"Cash","Collected",142.0
37,"Pickup","Canceled",11.0
37,"Pickup","Closed",449.0
37,"Pickup","DTO",2351.0
37,"Pickup","LOST",6.0
37,"Pickup","Picked Up",20.0
37,"Pickup","Scheduled",4.0
37,"Pre-paid","Delivered",15295.0
37,"Pre-paid","In Transit",6.0
37,"Pre-paid","LOST",26.0
37,"Pre-paid","Not Picked",35.0
37,"Pre-paid","RTO",473.0
37,"Pre-paid","Returned",45.0
37,"REPL","DTO",46.0
37,"REPL","LOST",1.0
37,"REPL","RTO",7.0
38,"COD","Delivered",29665.0
38,"COD","In Transit",10.0
38,"COD","LOST",77.0
38,"COD","Not Picked",34.0
38,"COD","Pending",3.0
38,"COD","RTO",6960.0
38,"COD","Returned",405.0
38,"Cash","Closed",84.0
38,"Cash","Collected",102.0
38,"Pickup","Canceled",18.0
38,"Pickup","Closed",599.0
38,"Pickup","DTO",2597.0
38,"Pickup","LOST",3.0
38,"Pickup","Picked Up",36.0
38,"Pickup","Scheduled",8.0
38,"Pre-paid","Delivered",10209.0
38,"Pre-paid","In Transit",2.0
38,"Pre-paid","LOST",18.0
38,"Pre-paid","Not Picked",4.0
38,"Pre-paid","RTO",350.0
38,"Pre-paid","Returned",66.0
38,"REPL","DTO",83.0
38,"REPL","Picked Up",1.0
38,"REPL","RTO",9.0
39,"COD","Delivered",21980.0
39,"COD","In Transit",21.0
39,"COD","LOST",32.0
39,"COD","Not Picked",2.0
39,"COD","Pending",3.0
39,"COD","RTO",5958.0
39,"COD","Returned",267.0
39,"Cash","Closed",52.0
39,"Cash","Collected",134.0
39,"Pickup","Canceled",9.0
39,"Pickup","Closed",171.0
39,"Pickup","DTO",1211.0
39,"Pickup","LOST",1.0
39,"Pickup","Picked Up",6.0
39,"Pickup","Scheduled",1.0
