_id.dl_date,_id.dl_pt,_id.dl_cl,dl_count
32,"COD","100 bestbuy",5.0
32,"COD","Alix Retail",154.0
32,"COD","Aov Pet Products Pvt Ltd",1.0
32,"COD","Ashfordlab",5.0
32,"COD","Bagittoday",1.0
32,"COD","CREATIVE I",3.0
32,"COD","Coke2HomeMumbai",5.0
32,"COD","Coke2homeCHENNAI",8.0
32,"COD","Coke2homeHYDERABAD",11.0
32,"COD","DFS - Angel Point",2.0
32,"COD","DFS - DIWALIHOLI.COM",2.0
32,"COD","DFS - Elcotek India Private Limited",28.0
32,"COD","DFS - Fab panda",41.0
32,"COD","DFS - Globalite Retail Pvt Ltd.",459.0
32,"COD","DFS - NV Enterprises",6.0
32,"COD","DFS - RIMS Marketing",2.0
32,"COD","DFS - TOLEXO ONLINE PVT LTD",122.0
32,"COD","DFS - Teenetra",1.0
32,"COD","DFS - The Luxurious Affair",7.0
32,"COD","DFS - The Rainbow Trunk",1.0
32,"COD","DFS - Vox Pox",14.0
32,"COD","DFS - xoxo",1.0
32,"COD","Dogspot",62.0
32,"COD","Fashionara",256.0
32,"COD","Flipkart",4298.0
32,"COD","Getitbazaar",3805.0
32,"COD","HealthKart",142.0
32,"COD","HomeShop18",727.0
32,"COD","HomeShop18-FOS",2546.0
32,"COD","Indiarush",1.0
32,"COD","Indiatimes",1.0
32,"COD","Jabong",1448.0
32,"COD","Jewel It Up",8.0
32,"COD","Kart Rocket",2.0
32,"COD","LimeRoad",241.0
32,"COD","Mebelkart",1.0
32,"COD","Mirraw COD",180.0
32,"COD","Myhomesol",1.0
32,"COD","Myntra",3213.0
32,"COD","Naaptol",249.0
32,"COD","Nvgals",1.0
32,"COD","Palred",285.0
32,"COD","Purple Pixie",1.0
32,"COD","Rediff",61.0
32,"COD","ShopClues",5.0
32,"COD","ShopGreed",4.0
32,"COD","ShoppersStop",175.0
32,"COD","Snapdeal",9269.0
32,"COD","Star CJ Guj",341.0
32,"COD","StarCJ Punjab",234.0
32,"COD","StarCJ-BOM",229.0
32,"COD","StarCJ-South",275.0
32,"COD","Syberplace",1.0
32,"COD","TrustPharmacy",3.0
32,"COD","Videocon",44.0
32,"COD","Yepme",2274.0
32,"COD","Zivame",111.0
32,"COD","Zoomin",76.0
32,"COD","Zovi",131.0
32,"COD","cheershopping",2.0
32,"COD","coke2homeBLR",33.0
32,"COD","madura",6.0
