_id.dl_date,_id.dl_oc,_id.dl_occ,dl_count
32,,,94.0
32,"AMD_PC (Gujarat)","Ahmedabad",237.0
32,"Airport (Tamil Nadu)","Chennai",4.0
32,"Ajmer_DC (Rajasthan)","Ajmer",4.0
32,"Allahabad (Uttar Pradesh)","Allahabad",10.0
32,"Ambala (Haryana)","Ambala",69.0
32,"Amritsar_DC (Punjab)","Amritsar",133.0
32,"Aurangabad (Maharashtra)","Aurangabad",8.0
32,"BLR_HSR_Layout_PC (Karnataka)","Bangalore",2.0
32,"BLR_HegdeNagar_PC (Karnataka)","Bangalore",3785.0
32,"BLR_JPNagar_Pc (Karnataka)","Bangalore",35.0
32,"Bareilly (Uttar Pradesh)","Bareilly",60.0
32,"Bengaluru_Rajajinagar_Dc (Karnataka)","Bangalore",1.0
32,"Bengaluru_Vijayanagar_Dc (Karnataka)","Bangalore",4.0
32,"Bengaluru_Yelahanka_Dc (Karnataka)","Bangalore",12.0
32,"Bhatinda (Punjab)","Bhatinda",20.0
32,"Bhiwandi_Pc (Maharashtra)","Mumbai",787.0
32,"Bhopal_Hub (Madhya Pradesh)","Bhopal",10.0
32,"Bhopal_Kartar Arcade (Madhya Pradesh)","Bhopal",8.0
32,"Bhubaneshwar_1 (Orissa)","Bhubaneshwar",34.0
32,"Bikaner_DC (Rajasthan)","Bikaner",5.0
32,"CCU_Gopalpur_PC (West Bengal)","Kolkata",333.0
32,"Chennai_Alandur _Pc (Tamil Nadu)","Chennai",8.0
32,"Chennai_Chrompet_DPC (Tamil Nadu)","Chennai",1.0
32,"Chennai_Egmore_DC (Tamil Nadu)","Chennai",4.0
32,"Chennai_Mylapore (Tamil Nadu)","Chennai",3.0
32,"Del_B_RPC (Delhi)","Delhi NCR",27.0
32,"Del_Okhla_PC (Delhi)","Delhi NCR",5356.0
32,"Delhi_S_PC (Delhi)","Delhi NCR",5739.0
32,"Durg_Bhilai_DC (Chhattisgarh)","Durg-Bhilainagar",3.0
32,"GGN_Gateway (Haryana)","Delhi NCR",8264.0
32,"GZB_Mohan_Nagar_DPC (Uttar Pradesh)","Delhi NCR",9.0
32,"Ghaziabad_Pratap Vihar (Uttar Pradesh)","Delhi NCR",1.0
32,"HBR Layout PC (Karnataka)","Bangalore",3.0
32,"HQ (Haryana)","Delhi NCR",2.0
32,"HS18 Daruhera Implant (Delhi)","Delhi NCR",1209.0
32,"Hathras (Uttar Pradesh)","Hathras",30.0
32,"Hisar (Haryana)","Hisar",443.0
32,"Hyd_Hub (Andhra Pradesh)","Hyderabad",494.0
32,"Hyd_Madhapur (Andhra Pradesh)","Hyderabad",1.0
32,"Hyd_North (Andhra Pradesh)","Hyderabad",13.0
32,"Hyd_Sayeedabad_Dc (Andhra Pradesh)","Hyderabad",5.0
32,"Indore_Lasudia_DPC (Madhya Pradesh)","Indore",239.0
32,"Jabalpur (Madhya Pradesh)","Jabalpur",27.0
32,"Jaipur_Hub (Rajasthan)","Jaipur",8.0
32,"Jalandhar_DC (Punjab)","Jalandhar",68.0
32,"Jalandhar_Sodal Road (Punjab)","Jalandhar",99.0
32,"Jammu_SubhashNagar_DC (Jammu & Kashmir)","Jammu",213.0
32,"Kanpur (Uttar Pradesh)","Kanpur",470.0
32,"Kirtinagar_PC (Delhi)","Delhi NCR",3869.0
32,"Kota (Rajasthan)","Kota",1.0
32,"Lucknow_Aliganj (Uttar Pradesh)","Lucknow",48.0
32,"Lucknow_Gomti Nagar (Uttar Pradesh)","Lucknow",33.0
32,"Lucknow_Vishnu Lok (Uttar Pradesh)","Lucknow",349.0
32,"Ludhiana_DC (Punjab)","Ludhiana",588.0
32,"Meerut (Uttar Pradesh)","Meerut",114.0
32,"Moradabad_DC (Uttar Pradesh)","Bareilly",139.0
32,"Mumbai Borivali (Maharashtra)","Mumbai",1.0
32,"Mumbai Hub (Maharashtra)","Mumbai",5.0
32,"Mumbai_Andheri_PC (Maharashtra)","Mumbai",1219.0
32,"Panaji Goa (Goa)","Goa",1.0
32,"Patiala (Punjab)","Patiala",181.0
32,"Raipur_DC (Chhattisgarh)","Raipur",171.0
32,"Raipur_Sunder Nagar_DC (Chhattisgarh)","Raipur",118.0
32,"Rajkot (Gujarat)","Rajkot",344.0
32,"Ranchi_1 (Jharkhand)","Ranchi",1.0
32,"Rudrapur (Uttarakhand)","Rudrapur",10.0
32,"Solapur_DC (Maharashtra)","Solapur",1.0
32,"StarCJ_BLR (Karnataka)","Bangalore",281.0
32,"Surat_Magob_Dc (Gujarat)","Surat",39.0
32,"Surat_Pc (Gujarat)","Surat",1418.0
32,"Tirupur (Tamil Nadu)","Tirupur",1.0
32,"Udaipur_DC (Rajasthan)","Udaipur",66.0
32,"Vadodara (Gujarat)","Vadodara",76.0
32,"Varanasi (Uttar Pradesh)","Varanasi",43.0
32,"Vishakhapatnam (Andhra Pradesh)","Vishakhapatnam",20.0
32,"cuttack (Orissa)","Cuttack",11.0
32,"jammu_Central (Jammu & Kashmir)","Jammu",2.0
32,"srinagar_central (Jammu & Kashmir)","Srinagar",34.0
33,,,292.0
33,"AMD_PC (Gujarat)","Ahmedabad",776.0
33,"Agra (Uttar Pradesh)","Agra",772.0
33,"Airport (Tamil Nadu)","Chennai",3.0
33,"Ajmer_DC (Rajasthan)","Ajmer",72.0
33,"Aligarh (Uttar Pradesh)","Aligarh",26.0
33,"Ambala (Haryana)","Ambala",137.0
33,"Amd_Chandkheda_Dc (Gujarat)","Ahmedabad",20.0
33,"Amritsar_DC (Punjab)","Amritsar",137.0
33,"Anand_Dc (Gujarat)","Anand",12.0
33,"Aurangabad (Maharashtra)","Aurangabad",44.0
33,"Ayanambakkam (Tamil Nadu)","Chennai",56.0
33,"BLR_HSR_Layout_PC (Karnataka)","Bangalore",63.0
33,"BLR_HegdeNagar_PC (Karnataka)","Bangalore",5025.0
33,"BLR_JPNagar_Pc (Karnataka)","Bangalore",14.0
33,"BLR_Tippasandra_DPC (Karnataka)","Bangalore",60.0
33,"Bareilly (Uttar Pradesh)","Bareilly",39.0
33,"Begumpet HYD (Andhra Pradesh)","Hyderabad",87.0
33,"Belgaum_Dc (Karnataka)","Belgaum",106.0
33,"Bengaluru_Banaswadi_Dc (Karnataka)","Bangalore",45.0
33,"Bengaluru_Bellandur (Karnataka)","Bangalore",13.0
33,"Bengaluru_East (Karnataka)","Bangalore",6.0
