_id.dl_date,_id.dl_cn,_id.dl_cnc,dl_count
32,"AMD_Maninagar","Ahmedabad",77.0
32,"AMD_Memnagar","Ahmedabad",69.0
32,"AMD_Naroda","Ahmedabad",49.0
32,"AMD_Paldi","Ahmedabad",72.0
32,"AMD_Rakhial","Ahmedabad",71.0
32,"AMD_Satellite","Ahmedabad",62.0
32,"Agra","Agra",111.0
32,"Airport","Chennai",148.0
32,"Ajmer_DC","Ajmer",57.0
32,"Aligarh","Aligarh",132.0
32,"Allahabad","Allahabad",149.0
32,"Ambabadi_DC","Jaipur",54.0
32,"Ambala","Ambala",80.0
32,"Amd_Chandkheda_Dc","Ahmedabad",226.0
32,"Amdavad_Central","Ahmedabad",36.0
32,"Amdavad_East","Ahmedabad",51.0
32,"Amritsar_DC","Amritsar",213.0
32,"Anand_Dc","Anand",134.0
32,"Aurangabad","Aurangabad",340.0
32,"Ayanambakkam","Chennai",90.0
32,"BLR_Central","Bangalore",51.0
32,"Bareilly","Bareilly",60.0
32,"Begumpet HYD","Hyderabad",60.0
32,"Belgaum_Dc","Belgaum",56.0
32,"Bengaluru_Arakere_Dc","Bangalore",67.0
32,"Bengaluru_BTM_Dc","Bangalore",71.0
32,"Bengaluru_Banaswadi_Dc","Bangalore",36.0
32,"Bengaluru_Bellandur","Bangalore",60.0
32,"Bengaluru_East","Bangalore",65.0
32,"Bengaluru_ElectronicCity_Dc","Bangalore",50.0
32,"Bengaluru_HSR_Dc","Bangalore",33.0
32,"Bengaluru_JPNagar_Dc","Bangalore",116.0
32,"Bengaluru_Koramangala_Dc","Bangalore",31.0
32,"Bengaluru_Marathalli_Dc","Bangalore",81.0
32,"Bengaluru_Mathikere_Dc","Bangalore",46.0
32,"Bengaluru_Millers_Dc","Bangalore",86.0
32,"Bengaluru_Nandinilayout_Dc","Bangalore",57.0
32,"Bengaluru_RTNagar_Dc","Bangalore",72.0
32,"Bengaluru_Rajajinagar_Dc","Bangalore",68.0
32,"Bengaluru_Richmond_Dc","Bangalore",25.0
32,"Bengaluru_Singasandra","Bangalore",111.0
32,"Bengaluru_South","Bangalore",178.0
32,"Bengaluru_Tippasandra_Dc","Bangalore",81.0
32,"Bengaluru_Vijayanagar_Dc","Bangalore",95.0
32,"Bengaluru_West","Bangalore",64.0
32,"Bengaluru_Whitefield_Dc","Bangalore",60.0
32,"Bengaluru_Wilson Garden_Dc","Bangalore",50.0
32,"Bengaluru_Yelahanka_Dc","Bangalore",125.0
32,"Berhampur_DC","Behrampur",164.0
32,"Bhatinda","Bhatinda",93.0
32,"Bhavnagar_Dc","Bhavnagar",102.0
32,"Bhiwandi_Pc","Mumbai",1.0
32,"Bhopal MP Nagar","Bhopal",119.0
32,"Bhopal_Dig Banglow","Bhopal",66.0
32,"Bhopal_Kartar Arcade","Bhopal",126.0
32,"Bhopal_Kolar Mandakni","Bhopal",42.0
32,"Bhopal_Old City",,1.0
32,"Bhopal_Old City","Bhopal",190.0
32,"Bhubaneshwar_1","Bhubaneshwar",151.0
32,"Bhubaneshwar_Nayapalli","Bhubaneshwar",160.0
32,"Bhubaneswar_Patia","Bhubaneshwar",114.0
32,"Bidar","Gulbarga",295.0
32,"Bikaner_DC","Bikaner",86.0
32,"Blr_Ganabharathi","Bangalore",95.0
32,"Bokaro","Bokaro",159.0
32,"CCU_Behala","Kolkata",48.0
32,"CCU_Central","Kolkata",69.0
32,"CCU_DumDum","Kolkata",51.0
32,"CCU_Dunlop","Kolkata",35.0
32,"CCU_Entally","Kolkata",109.0
32,"CCU_Garia","Kolkata",71.0
32,"CCU_Jadavpur","Kolkata",69.0
32,"CCU_Manicktala","Kolkata",38.0
32,"CCU_North","Kolkata",75.0
32,"CCU_SaltLake","Kolkata",102.0
32,"CCU_South","Kolkata",86.0
32,"CCU_Taratala","Kolkata",54.0
32,"CCU_Tollygunje","Kolkata",64.0
32,"CCU_Topsia","Kolkata",31.0
32,"CJB","Coimbatore",92.0
32,"Central Goa","Goa",78.0
32,"Chandigarh","Chandigarh",144.0
32,"Chandigarh_Kurali_DC","Chandigarh",91.0
32,"Chandigarh_Mohali","Chandigarh",46.0
32,"Chandigarh_Panchkula","Chandigarh",54.0
32,"Chennai_Arumbakkam","Chennai",73.0
32,"Chennai_AshokNagar_DC","Chennai",86.0
32,"Chennai_Avadi","Chennai",62.0
32,"Chennai_Ayanavaram","Chennai",106.0
32,"Chennai_Egmore_DC","Chennai",42.0
32,"Chennai_Madhavaram_DC","Chennai",41.0
32,"Chennai_Mylapore","Chennai",79.0
32,"Chennai_Poonamallee","Chennai",107.0
32,"Chennai_Porur_DC","Chennai",80.0
32,"Chennai_Potheri","Chennai",227.0
32,"Chennai_Redhills","Chennai",15.0
32,"Chennai_Royapuram","Chennai",76.0
32,"Chennai_Sholinganallur_Dc","Chennai",132.0
32,"Chennai_Sriperumbudur_Dc","Chennai",34.0
32,"Chennai_Thiruvanmiyur_DC","Chennai",52.0
32,"Chennai_Vandalur_Dc","Chennai",72.0
32,"Chromepet","Chennai",106.0
32,"Cjb_Kovaipudur_Dc","Coimbatore",116.0
32,"Cjb_West_Dc","Coimbatore",88.0
32,"Cuddalore_DC","Cuddalore",163.0
32,"Darbhanga","Darbhanga",188.0
32,"Dehradun","Dehradun",132.0
32,"Delhi Moti Nagar","Delhi NCR",83.0
32,"Delhi_Badarpur","Delhi NCR",43.0
32,"Delhi_Barwala","Delhi NCR",19.0
32,"Delhi_Bhajanpura","Delhi NCR",38.0
32,"Delhi_Bhogal","Delhi NCR",86.0
32,"Delhi_Central","Delhi NCR",77.0
32,"Delhi_Govindpura","Delhi NCR",30.0
32,"Delhi_Lajwanti","Delhi NCR",43.0
32,"Delhi_MalviyaNagar","Delhi NCR",65.0
32,"Delhi_MayurVihar","Delhi NCR",30.0
32,"Delhi_Mohammadpur","Delhi NCR",13.0
32,"Delhi_Moti Bagh","Delhi NCR",10.0
32,"Delhi_Munirka","Delhi NCR",14.0
32,"Delhi_Nangloi","Delhi NCR",53.0
32,"Delhi_Naraina_DC","Delhi NCR",42.0
32,"Delhi_Palam","Delhi NCR",78.0
32,"Delhi_PunjabiBagh","Delhi NCR",34.0
32,"Delhi_Shahdara","Delhi NCR",57.0
32,"Delhi_South","Delhi NCR",1.0
32,"Delhi_Timarpur","Delhi NCR",73.0
32,"Delhi_mukherjeenagar","Delhi NCR",62.0
32,"Delhi_shahpurJat","Delhi NCR",98.0
32,"Dhanbad_Hirapur","Dhanbad",159.0
32,"Dharwad_Dc","Hubli",44.0
32,"Durg_Bhilai_DC","Durg-Bhilainagar",338.0
32,"East Delhi","Delhi NCR",78.0
32,"Erode","Erode",177.0
32,"FBD_Balabhgarh_DPC","Delhi NCR",7.0
32,"Faridabad","Delhi NCR",124.0
32,"Faridabad_Old","Delhi NCR",41.0
32,"GGN_DPC","Delhi NCR",163.0
32,"GZB_Mohan_Nagar_DPC","Delhi NCR",28.0
32,"Ghaziabad","Delhi NCR",5.0
32,"Ghaziabad_Nehru Nagar","Delhi NCR",53.0
32,"Ghaziabad_Patel Nagar","Delhi NCR",5.0
32,"Ghaziabad_Pratap Vihar","Delhi NCR",8.0
32,"Ghaziabad_Vasundhra","Delhi NCR",95.0
32,"Goa_Margao_Dc","Goa",188.0
32,"Goa_Ponda_Dc","Goa",41.0
32,"Gorakhpur","Gorakhpur",320.0
32,"Greater_Noida","Delhi NCR",68.0
32,"Gulbarga","Gulbarga",145.0
32,"Guntur_DC","Guntur",145.0
32,"Gurgaon","Delhi NCR",94.0
32,"Gurgaon_Dundahera","Delhi NCR",33.0
32,"Gurgaon_Kadipur","Delhi NCR",10.0
32,"Gurgaon_Manesar","Delhi NCR",1.0
32,"Gurgaon_NewColony Mor","Delhi NCR",12.0
32,"Gurgaon_Palam Vihar","Delhi NCR",16.0
32,"Gurgaon_Wazirabad","Delhi NCR",46.0
32,"Guwahati_Chandmari","Guwahati",304.0
32,"Guwahati_East","Guwahati",164.0
32,"Guwahati_Jalukbari","Guwahati",266.0
32,"Guwahati_North","Guwahati",319.0
32,"Guwahati_Sixmile","Guwahati",213.0
32,"Guwahati_South","Guwahati",336.0
32,"Guwahati_West","Guwahati",318.0
32,"Gwalior_DC","Gwalior",187.0
32,"Haridwar","Haridwar",181.0
32,"Hathras","Hathras",50.0
32,"Hisar","Hisar",100.0
32,"Hospet","Hospet",216.0
32,"Hosur_Dc","Hosur",81.0
32,"Howrah_Shibpur","Howrah",96.0
32,"Hubli_Dc","Hubli",70.0
32,"Hyd-Ecil","Hyderabad",96.0
32,"Hyd_Abids_Dc","Hyderabad",58.0
32,"Hyd_Attapur_Dc","Hyderabad",103.0
32,"Hyd_Balanagar","Hyderabad",42.0
32,"Hyd_Banjarahills_DC","Hyderabad",68.0
32,"Hyd_BkGuda_Dc","Hyderabad",80.0
32,"Hyd_Chandanagar_Dc","Hyderabad",91.0
32,"Hyd_East","Hyderabad",39.0
32,"Hyd_Gachibowli","Hyderabad",65.0
32,"Hyd_Jeedimetla_Dc","Hyderabad",79.0
32,"Hyd_Kavadiguda_Dc","Hyderabad",55.0
32,"Hyd_LB-Nagar_Dc","Hyderabad",139.0
32,"Hyd_Madhapur","Hyderabad",84.0
32,"Hyd_Miyapur_Dc","Hyderabad",53.0
32,"Hyd_North","Hyderabad",78.0
32,"Hyd_Sayeedabad_Dc","Hyderabad",148.0
32,"Hyd_South","Hyderabad",3.0
32,"Hyd_Tarnaka_Dc","Hyderabad",46.0
32,"Hyd_Tolichowki_Dc","Hyderabad",154.0
32,"Hyd_Trimulgherry_Dc","Hyderabad",86.0
32,"Hyd_Uppal_Dc","Hyderabad",67.0
32,"Indore Palasia","Indore",81.0
32,"Indore_Marimata","Indore",69.0
32,"Indore_New Palasia","Indore",210.0
32,"Indore_Rajendra nagar","Indore",114.0
32,"Jabalpur","Jabalpur",171.0
32,"Jaipur","Jaipur",155.0
32,"Jaipur_Malviya Nagar","Jaipur",131.0
32,"Jaipur_vaishali Nagar","Jaipur",61.0
32,"Jalandhar_DC","Jalandhar",271.0
32,"Jammu_SubhashNagar_DC","Jammu",341.0
32,"Jamnagar_Dc","Jamnagar",176.0
32,"Janakpuri","Delhi NCR",81.0
32,"Jodhpur","Jodhpur",122.0
32,"Kanchipuram_DC","Kanchipuram",2.0
32,"Kanpur","Kanpur",181.0
32,"Karnal","Karnal",56.0
32,"Karur","Karur",254.0
32,"Kolhapur_DC","Kolhapur",58.0
32,"Kota","Kota",141.0
32,"Lucknow","Lucknow",212.0
32,"Lucknow_Aliganj","Lucknow",139.0
32,"Lucknow_Gomti Nagar","Lucknow",103.0
32,"Lucknow_Hub","Lucknow",5.0
32,"Lucknow_Indira Nagar","Lucknow",94.0
32,"Lucknow_Vishnu Lok","Lucknow",98.0
32,"Ludhiana_DC","Ludhiana",227.0
32,"Ludhiana_Dugri","Ludhiana",350.0
32,"MP_Dewas","Dewas",87.0
32,"Madurai","Madurai",102.0
32,"Malad_West_DC","Mumbai",46.0
32,"Mandya_Dc","Mysore",203.0
32,"Mangalore","Mangalore",273.0
32,"Meerut","Meerut",98.0
32,"Mehedipatnam","Hyderabad",54.0
32,"Mehsana_Dc","Mehsana",149.0
32,"Moradabad_DC","Bareilly",31.0
32,"Mount Road","Chennai",69.0
32,"Mumbai Antop Hill","Mumbai",38.0
32,"Mumbai Borivali","Mumbai",34.0
32,"Mumbai Central","Mumbai",100.0
32,"Mumbai Chandivali","Mumbai",64.0
32,"Mumbai East","Mumbai",154.0
32,"Mumbai Lower Parel","Mumbai",47.0
32,"Mumbai MIDC","Mumbai",58.0
32,"Mumbai Mahim","Mumbai",20.0
32,"Mumbai Mira Rd","Mumbai",118.0
32,"Mumbai North","Mumbai",106.0
32,"Mumbai Sakinaka","Mumbai",39.0
32,"Mumbai South","Mumbai",41.0
32,"Mumbai Tardeo","Mumbai",35.0
32,"Mumbai Vile Parle","Mumbai",33.0
32,"Mumbai_Ambernath_Dc","Mumbai",138.0
32,"Mumbai_Bhandup West_Dc","Mumbai",47.0
32,"Mumbai_Borivali West _Dc","Mumbai",52.0
32,"Mumbai_Chembur_Dc","Mumbai",109.0
32,"Mumbai_Fort _Dc","Mumbai",76.0
