_id.dl_date,_id.dl_zn,_id.dl_time,dl_count
32,,0,11.0
32,,1,69.0
32,,2,5.0
32,,3,3.0
32,,6,1.0
32,,8,2.0
32,,40,2.0
32,"A",0,232.0
32,"A",1,1530.0
32,"A",2,265.0
32,"A",3,62.0
32,"A",4,14.0
32,"A",5,13.0
32,"A",6,1.0
32,"A",7,2.0
32,"A",8,3.0
32,"A",9,1.0
32,"A",11,1.0
32,"A",40,20.0
32,"B",0,1.0
32,"B",1,1394.0
32,"B",2,1646.0
32,"B",3,686.0
32,"B",4,180.0
32,"B",5,98.0
32,"B",6,33.0
32,"B",7,6.0
32,"B",8,19.0
32,"B",9,8.0
32,"B",10,5.0
32,"B",12,1.0
32,"B",26,1.0
32,"B",40,18.0
32,"C",0,3.0
32,"C",1,1088.0
32,"C",2,4724.0
32,"C",3,2076.0
32,"C",4,417.0
32,"C",5,89.0
32,"C",6,37.0
32,"C",7,8.0
32,"C",8,21.0
32,"C",9,6.0
32,"C",10,2.0
32,"C",11,2.0
32,"C",12,1.0
32,"C",13,3.0
32,"C",14,2.0
32,"C",15,1.0
32,"C",18,1.0
32,"C",19,1.0
32,"C",20,1.0
32,"C",40,44.0
32,"D",0,4.0
32,"D",1,755.0
32,"D",2,4944.0
32,"D",3,5938.0
32,"D",4,3448.0
32,"D",5,1576.0
32,"D",6,539.0
32,"D",7,114.0
32,"D",8,103.0
32,"D",9,57.0
32,"D",10,24.0
32,"D",11,26.0
32,"D",12,35.0
32,"D",13,7.0
32,"D",14,4.0
32,"D",15,4.0
32,"D",16,17.0
32,"D",17,1.0
32,"D",18,1.0
32,"D",20,1.0
32,"D",25,1.0
32,"D",40,147.0
32,"E",2,57.0
32,"E",3,188.0
32,"E",4,443.0
32,"E",5,884.0
32,"E",6,906.0
32,"E",7,316.0
32,"E",8,505.0
32,"E",9,310.0
32,"E",10,110.0
32,"E",11,212.0
32,"E",12,322.0
32,"E",13,157.0
32,"E",14,11.0
32,"E",15,6.0
32,"E",16,72.0
32,"E",17,217.0
32,"E",18,164.0
32,"E",19,17.0
32,"E",20,2.0
32,"E",21,1.0
32,"E",22,4.0
32,"E",40,68.0
33,,0,103.0
33,,1,130.0
33,,2,9.0
33,,3,4.0
33,,4,1.0
33,,5,1.0
33,,7,1.0
33,,13,1.0
33,,39,41.0
33,"A",0,1228.0
33,"A",1,4385.0
33,"A",2,752.0
33,"A",3,111.0
33,"A",4,41.0
33,"A",5,31.0
33,"A",6,6.0
33,"A",7,6.0
33,"A",8,3.0
33,"A",9,11.0
33,"A",11,1.0
33,"A",12,8.0
33,"A",13,4.0
